Title,Description,Link,Site,Label
الفتح يوقف اتحاد جدة وينعش حظوظ الهلال,انتزع الفتح تعادلا مثيرا من ضيفه الاتحاد 4- 4، يوم الجمعة، ضمن منافسات المرحلة 26 من دوري كأس محمد بن سلمان للمحترفين.وتقدم بيتروس للفتح في الدقيقة ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/06/الفتح-يوقف-اتحاد-جدة-وينعش-حظوظ-الهلال,Al-Arabiya,Sport
مراهق يقصي نادال من دورة مدريد,"حسم اليافع كارلوس ألكاراس ""19 عاما"" الديربي الإسباني مع مواطنه الأسطوري رافايل نادال العائد من إصابة في أضلعه 6-2 و1-6 و6-3، يوم الجمعة، ليبلغ على أرض ...",https://www.alarabiya.net//sport/other-sport/2022/05/06/مراهق-يقصي-نادال-من-دورة-مدريد,Al-Arabiya,Sport
سجن 6 لاعبي تنس وإيقافهم لأكثر من 22 عاماً,قالت وحدة النزاهة التابعة للاتحاد الدولي للتنس يوم الجمعة، إنها عاقبت ستة لاعبين بالإيقاف لمدة طويلة بعد أن أدانتهم محاكم إسبانية بالتلاعب في نتائج ...,https://www.alarabiya.net//sport/other-sport/2022/05/06/سجن-6-لاعبي-تنس-وايقافهم-لأكثر-من-22-عاماً,Al-Arabiya,Sport
غوارديولا: لم أدرب مانشستر سيتي للفوز بدوري أبطال أوروبا ,أعرب جوسيب غوارديولا المدير الفني لفريق مانشستر سيتي الإنجليزي لكرة القدم عن اعتقاده بأن فريقه حقق بالفعل أهدافه من خلال كونه منافسا على كل الألقاب في ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/غوارديولا-لم-أدرب-مانشستر-سيتي-للفوز-بدوري-أبطال-أوروبا-,Al-Arabiya,Sport
صلاح: أملك أفضل الأرقام.. وسنرى من سيحقق الكرة الذهبية,أكد محمد صلاح، نجم ليفربول الإنجليزي، أن نهائي دوري أبطال أوروبا أمام ريال مدريد سيحدد من سيفوز بجائزة الكرة الذهبية بينه وبين المهاجم الفرنسي كريم ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/صلاح-حطمت-الأرقام-وسنرى-من-سيحقق-الكرة-الذهبية-,Al-Arabiya,Sport
غوارديولا: ما حدث أمام ريال مدريد ليس فشلاً,أقرّ مدرب مانشستر سيتي الإنجليزي، الإسباني بيب غوارديولا بأنه لا توجد كلمات تستطيع تخفيف الآلام جراء خروج فريقه من دوري أبطال أوروبا على يد ريال مدريد ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/غوارديولا-ما-حدث-أمام-ريال-مدريد-ليس-فشلاً,Al-Arabiya,Sport
كلوب: ما فعله ريال مدريد بمانشستر سيتي رائع,أكد يورغن كلوب مدرب ليفربول يوم الجمعة أن دفاع فريقه سيواجه أكبر تحد له منذ فترة طويلة أمام هجوم توتنهام هوتسبير القوي عندما يتقابل الفريقان في الدوري ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/كلوب-ما-فعله-ريال-مدريد-بمانشستر-سيتي-رائع,Al-Arabiya,Sport
الهلال في مهمة استعادة التوازن أمام ضمك,يتطلع الهلال لاستعادة توازنه سريعاً بعد خسارة مباغتة أمام الفيحاء بهدف في مباراة مؤجلة، بعد سلسلة من ستة انتصارات، عندما يحل ضيفاً على ضمك، يوم السبت، ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/06/الهلال-في-مهمة-استعادة-التوازن-أمام-ضمك,Al-Arabiya,Sport
تشافي: نريد تحقيق أهدافنا قبل نهاية الموسم,حث تشافي المدير الفني لفريق برشلونة الإسباني لكرة القدم، لاعبيه على ضرورة استغلال الفرصة الذهبية لحسم التأهل لدوري أبطال أوروبا في الموسم المقبل، وذلك ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/تشافي-نريد-تحقيق-أهدافنا-قبل-نهاية-الموسم,Al-Arabiya,Sport
مورينيو يكشف سبب بكائه,انهمر جوزيه مورينيو مدرب روما في البكاء عقب قيادة فريقه إلى نهائي دوري المؤتمر الأوروبي لكرة القدم الليلة الماضية، وقال إن البطولة القارية الثالثة من ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/مورينيو-يكشف-سبب-بكائه,Al-Arabiya,Sport
"مويز يعتذر عقب واقعة ""جامع الكرات""",اعتذر ديفيد مويز مدرب وست هام يونايتد عقب طرده لركله الكرة نحو فتى جمع الكرات خلال خسارة فريقه في إياب قبل نهائي الدوري الأوروبي لكرة القدم أمام ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/مويز-يعتذر-عقب-واقعة-جامع-الكرات-,Al-Arabiya,Sport
هاو يأمل الاستفادة من الخروج القاسي لمانشستر سيتي,طالب إيدي هاو مدرب نيوكاسل يونايتد الإنجليزي لاعبيه، يوم الجمعة، الظهور بأفضل صورة ممكنة للاستفادة من قساوة الخروج الدراماتيكي لمضيفه مانشستر سيتي ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/هاو-يأمل-الاستفادة-من-قساوة-خروج-مانشستر-سيتي,Al-Arabiya,Sport
دورتموند يؤجل جولته إلى إسرائيل لمخاوف أمنية,علمت وكالة الأنباء الألمانية (د.ب.أ) أن نادي بوروسيا دورتموند الألماني لكرة القدم سيؤجل جولته التي كانت مقررة إلى إسرائيل في نهاية الموسم، بعدما ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/دورتموند-يؤجل-جولته-الى-اسرائيل-لمخاوف-أمنية,Al-Arabiya,Sport
الصين تعلن تأجيل دورة الألعاب الآسيوية 2022,ذكرت وسائل إعلام رسمية صينية يوم الجمعة نقلا عن منظمي دورة الألعاب الآسيوية 2022، المقررة في مدينة هانغتشو الصينية، أنه جرى تأجيل الدورة.وتواصل الصين ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/الصين-تعلن-تأجيل-دورة-الألعاب-الآسيوية-2022,Al-Arabiya,Sport
أرسنال يمدد عقد أرتيتا إلى 2025,"أعلن نادي أرسنال الإنجليزي لكرة القدم، اليوم الجمعة، أن مديره الفني ميكيل أرتيتا وقع عقدا جديدا لمدة ثلاثة أعوام تنتهي في 2025 .وكان أرتيتا ""40 عاما"" ...",https://www.alarabiya.net//sport/international-sport/2022/05/06/أرسنال-يمدد-عقد-أرتيتا-الى-2025,Al-Arabiya,Sport
